リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
diegosouzapw/OmniRoute,TypeScript,OmniRoute はローカルプロキシとして動作するオープンソースのAIゲートウェイで、単一のエンドポイント(localhost:20128)から290以上のプロバイダー・500以上のモデルに接続できる。健全性・レイテンシ・成功率など12の指標を評価するオーケストレーションエンジンが最適なプロバイダーを自動選択し、障害時にはサーキットブレーカーやクールダウンで自動フォールバックする。,https://github.com/diegosouzapw/OmniRoute,25839,"・12段階のトークン圧縮パイプラインでコード/JSONを保持したままプロンプトを最大95%圧縮
・Claude Code、Cursor、Cline など33種のコーディングエージェントに単一設定で対応
・MCP/A2A/REST/Webhookの4系統でエージェントからの自律制御も可能、月間約15億トークン相当の無料枠を集約",複数のAI開発ツールを併用する開発者が、プロバイダーごとのAPIキー管理やレート制限の悩みを1箇所に集約できる点が実用的。無料枠を横断的に活用してコストを抑えつつ、障害時の可用性も確保できるため、個人開発から小規模チームの運用まで役立ちそうだ。,MIT,
permissionlesstech/bitchat,Swift,bitchat は中央サーバーを介さないP2Pメッセージングアプリで、Bluetooth Low Energyによるローカルメッシュネットワークとインターネット経由のNostrプロトコルを組み合わせたデュアルトランスポート構成を採る。オフライン時は最大7ホップのメッシュリレーで通信し、オンライン時はNostrのジオハッシュ地域チャンネルでグローバルに繋がる。,https://github.com/permissionlesstech/bitchat,7019,"・アカウント・電話番号・中央サーバー不要、Noiseプロトコルによる前方秘匿性のある暗号化
・IRC風コマンド(/slap, /msg, /who)やトリプルタップでの緊急データ消去など実用的なプライバシー機能
・パブリックドメイン(Unlicense)公開でSwift実装、iOS/macOSネイティブ対応",災害時やインターネット遮断下でも動作するオフラインファースト通信手段として、デモやフェスティバル、被災地支援などのユースケースに向く。プライバシー重視のコミュニケーション基盤として、監視や検閲を避けたいユーザー層への訴求力が高いと感じる。,Unlicense,
usestrix/strix,Python,Strix は実際のハッカーのように振る舞う自律型AIエージェント群がアプリケーションを動的に実行し、脆弱性を発見してPoC(概念実証)まで検証するオープンソースのペネトレーションテストツール。OWASP Top 10に沿ったIDOR、SQLインジェクション、XSS、ビジネスロジック不備などを幅広くカバーする。,https://github.com/usestrix/strix,19164,"・偵察・攻撃・侵害後フェーズを分担するマルチエージェント構成で並列にターゲットを診断
・HTTPプロキシやブラウザ自動化、Pythonサンドボックスを備えた専用ペンテストツールキットを内蔵
・脆弱性修正パッチを自動生成しPRとして提出するAuto-Fix機能、CI/CD統合も可能",開発サイクルの中でCIに組み込み、リリース前に自動的にセキュリティ診断を行う用途に向く。人手によるペンテストの前段階のスクリーニングや、継続的な脆弱性監視の自動化に活用でき、セキュリティ人材不足の組織にとって導入価値が大きいと考える。,Apache-2.0,
stablyai/orca,TypeScript,Orca は複数のコーディングエージェント(Claude Code、Codex、OpenCodeなど)を並列に動かすためのADE(Agent Development Environment)で、各エージェントを独立したgit worktreeで実行できる。デスクトップ(Mac/Windows/Linux)、モバイル(iOS/Android)、VPS上のヘッドレスサーバーいずれからも操作可能で、ユーザー自身の既存サブスクリプションをそのまま利用する。,https://github.com/stablyai/orca,23282,"・1つのプロンプトを複数エージェントに同時実行させ、結果を比較してマージできる「ファンアウト」機能
・埋め込みChromiumのDesign Modeやターミナル無限分割、GitHub/Linear連携など開発者向けUIが充実
・モバイルからのエージェント監視・操作やSSH経由のリモートworktree対応で場所を選ばない運用が可能",複数のAIコーディングエージェントを比較検討しながら開発したいチームや個人に向いており、実装案のA/B比較や大規模タスクの並列分割に有効。外出先からモバイルでエージェントの進捗を確認・指示できる点は、常時稼働のエージェントフリートを運用する開発スタイルとの相性が良いと感じる。,MIT,
Zackriya-Solutions/meetily,Rust,meetily はTauriベースのデスクトップアプリとして動作する、完全ローカル処理のAI議事録アシスタント。Rust製バックエンドがWhisperまたはParakeetモデルで音声を4倍速で文字起こしし、Next.js製フロントエンドで表示、要約にはOllamaなどローカル/外部LLMを選択できる。,https://github.com/Zackriya-Solutions/meetily,14467,"・音声データや文字起こしが端末外に出ない「100%ローカル処理」設計でGDPR等の規制対応を意識
・macOSのMetal/CoreML、WindowsやLinuxのCUDA/Vulkanによるハードウェアアクセラレーションに対応
・話者分離(ダイアライゼーション)機能を搭載し、要約プロバイダーはOllama推奨で複数選択可能",機密性の高い社内会議や医療・法務など規制業界での議事録作成に、クラウドサービスを介さず安全に導入できる点が魅力。ローカルLLMと組み合わせることでランニングコストを抑えつつ、プライバシーを重視する企業のニーズに応えられそうだ。,MIT,
emilkowalski/skills,,著名なUIアニメーション設計者Emil Kowalskiが公開する、AIエージェント向けの「デザインエンジニア向けスキル」集。AIエージェントが陥りがちな稚拙なイージングや視覚的判断ミスを防ぐため、アニメーションレビューやApple流デザイン原則などの専門知識をスキルとして提供する。,https://github.com/emilkowalski/skills,18400,"・review-animations、improve-animations、apple-design など8種の専門スキルを収録
・`npx skills@latest add emilkowalski/skills` でClaude Codeなどのエージェントに簡単導入可能
・「エージェントには良いセンスがない」という問題意識に基づき、UIライブラリ選定や複数案の比較生成も支援",AIにコーディングを任せつつも見た目の品質を担保したいデザインエンジニアにとって、実装と審美眼のギャップを埋める実践的なツールとなる。既存のCLIエージェントに組み込むだけでレビュー基準が統一されるため、チームでのUI品質管理に活用できそうだ。,MIT,
ogulcancelik/herdr,Rust,herdr はRust製の単一バイナリで動作する、ターミナル上で複数のAIコーディングエージェントを同時に管理する「エージェントマルチプレクサ」。tmuxのようにペイン分割でエージェントの実行状況(blocked/working/complete)を一目で確認でき、セッションをデタッチしてもエージェントはバックグラウンドで動き続ける。,https://github.com/ogulcancelik/herdr,14176,"・要約ではなく実際のターミナル出力をそのまま表示するリアルタイム可視性
・エージェント同士がソケットAPI経由でペインを生成し合い協調動作できる設計
・tmux風のキーボード操作とマウス操作を両立、プラグインによる拡張やSSH経由の再接続にも対応",Electron製の重いGUIを使わず、CLI環境だけで複数エージェントを俯瞰・管理したい開発者に向く軽量な選択肢。SSH越しでもセッションを維持できるため、リモートサーバー上でエージェントを走らせ続ける運用スタイルと親和性が高いと感じる。,Apache-2.0,
Nutlope/hallmark,CSS,hallmark はClaude Code、Cursor、Codexで使う「アンチAIスロップ」デザインスキルで、LLMが学習データの偏りから生み出しがちな画一的でテンプレート的な見た目を避け、ブリーフごとに異なる視覚的個性を持つUIを生成する。Build(新規生成)、Audit(既存コードの採点)、Redesign(再設計)、Study(参考デザインのDNA抽出)の4コマンドを備える。,https://github.com/Nutlope/hallmark,15858,"・57項目の「スロップ判定ゲート」と生成前の自己批評ステップでAIっぽさを検出・排除
・Hum、Cobalt、Carnivalなど20種のプリセットテーマとCustomモードでタイポグラフィや配色を切り替え
・`npx skills add nutlope/hallmark` でSKILL.mdを配布・導入する軽量な仕組み",AIコーディングツールで量産しがちな「いかにもAI生成」なランディングページやUIから脱却したい制作者に有用。既存サイトの採点機能を使えば、公開前のデザインレビューを自動化する用途にも活用できそうだ。,MIT,
hasaneyldrm/exercises-dataset,HTML,"1,324種類のフィットネスエクササイズをJSON形式で収録したオープンデータセットで、種目ごとにサムネイル画像・アニメーションGIF、対象筋群・部位、使用器具、10言語のステップバイステップ手順などのメタデータが付与されている。JSON Schemaによるバリデーションや検索・フィルタ可能なindex.htmlも同梱される。",https://github.com/hasaneyldrm/exercises-dataset,16064,"・上腕(292)、下肢(227)、背中(203)など10部位、自重(325)・ダンベル(294)など12種の器具でタグ付け
・約25%が自重トレーニングで在宅ワークアウト用途にも対応、10言語で指示文を提供
・画像・GIFは©Gym visualのクレジット表示付き再配布、コード/データ自体はMITライセンス",フィットネスアプリやワークアウト提案システムの初期データとしてすぐに使える完成度で、種目レコメンドや画像分類など機械学習用途にも転用しやすい。多言語対応の指示文があるため、グローバル展開するヘルスケアサービスの土台データとしても魅力的だ。,,
asgeirtj/system_prompts_leaks,JavaScript,Anthropic(Claude)、OpenAI、Google、xAI、Mistral、各種コーディングツールなどから抽出されたシステムプロンプトを収集・整理するリポジトリ。企業・製品ごとにフォルダ分けされ、モデルバージョンやAPI経由/Web版の違いなど細かく分類されている。,https://github.com/asgeirtj/system_prompts_leaks,14701,"・685件超のコミットで継続的に更新され、2026年7月時点の最新モデルの情報も反映
・Claude Code、GitHub Copilot、Perplexity、Notion AIなど開発ツール系プロンプトも幅広く収録
・「逐語的に捕捉した隠れた指示」を掲げ、各社の非公開プロンプト設計思想を比較できる資料集",各社がシステムプロンプトでどのように振る舞いやガードレールを設計しているかを学ぶ教材として有用で、自社プロダクトのプロンプト設計の参考になる。一方で抽出元の合法性やプロバイダーの利用規約との兼ね合いには留意が必要だと感じる。,CC0-1.0,
