リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
pascalorg/editor,TypeScript,Pascal Editorは、Webブラウザ上で3D建築プロジェクトを作成・共有できるオープンソースのデザインツール。敷地・建物・階層・壁・スラブ・ゾーンといった階層的な建築構造をノードとして扱い、React Three FiberとWebGPUによるリアルタイム3Dレンダリングでモデリングできる。TurborepoとBunによるモノレポ構成で、コア・ビューア・エディタ・ノード定義がパッケージ分割されている。,https://github.com/pascalorg/editor,341,"・Zustandベースの状態管理とdirty-node追跡により、複雑なシーンでも効率的なジオメトリ更新とundo/redo(Zundo)を実現
・three-bvh-csgによるブーリアン演算や、独自ノードタイプを追加できるプラグイン機構を備え拡張性が高い
・React 19/Next.js 16という最新スタックを採用し、積層・展開・単層表示など建築設計に特化した閲覧モードを提供",従来のCADソフトに比べて導入障壁が低く、ブラウザだけで建築設計の初期検討やプロトタイピングができる点が魅力。建築士やデザイナーがチームで空間構成を共有・議論するツールとして、あるいは開発者がプラグインで独自のBIM的機能を追加する基盤として活用できそう。,MIT,
jenkinsci/jenkins,Java,"Jenkinsは、ビルド・テスト・静的解析・デプロイまでの開発ワークフローを自動化する、Javaで書かれたオープンソースの自動化サーバー。2,000種類以上のプラグインによりCI/CDパイプラインをほぼあらゆる開発シナリオに合わせてカスタマイズできる、業界で広く使われている定番ツールである。",https://github.com/jenkinsci/jenkins,180,"・WARファイル、Dockerイメージ、Linux/Windows向けネイティブインストーラなど多様な配布形態を提供
・Weeklyリリース(新機能重視)とLTS(安定性・セキュリティバックポート重視)の二本立てリリース体制
・スタートアップから大企業まで幅広い組織に採用されており、活発なガバナンス体制とコントリビューションガイドを持つ成熟したコミュニティが存在",枯れた技術でありながら継続的に更新・保守されている点が、今なおトレンドに上がる理由と考えられる。既存のCI/CD基盤の刷新や、プラグインエコシステムを活かした社内独自のパイプライン構築を検討するチームにとって、依然として有力な選択肢であり続けている。,MIT,
moeru-ai/airi,TypeScript,Project AIRIは、Neuro-samaに着想を得た「自己ホスト型AIバーチャルコンパニオン」を構築できるオープンソースプラットフォーム。音声認識・音声合成によるリアルタイム会話、VRM/Live2Dアバター表示、ゲーム操作(Minecraft、Factorioなど)、Telegram/Discord連携など、AIキャラクターを自分のPC上で完全に所有・制御しながら動かせる点が特徴。,https://github.com/moeru-ai/airi,797,"・WebGPU/WebAssembly/Web Workerを活用したブラウザ完結型のローカル推論と、NVIDIA CUDA/Apple Metalによるネイティブ高速化を両立
・Vue.js/TypeScript/Electronによるクロスプラットフォーム対応(Web・デスクトップ・PWA)
・DuckDB WASMやPGVectorを用いた永続的な記憶システムを備え、複数のLLMプロバイダーを切り替え可能","プロプライエタリなAIバーチャルストリーマーサービスへの「オープンな代替」を目指す設計思想が明確で、個人開発者が自分だけのAIキャラクターを育てたり、配信・ゲーム実況の相棒として使う用途に向く。44.8kスター・4,000超のコミットという勢いは、ローカルLLM×アバターという分野への関心の高まりを反映していると感じる。",MIT,
andrewyng/aisuite,Python,aisuiteは、OpenAI・Anthropic・Google・Mistral・Hugging Face・AWS・Cohere・Ollamaなど多数のLLMプロバイダーを共通インターフェースで扱えるPythonの軽量ライブラリ。「provider:model-name」という文字列を変えるだけでプロバイダーを切り替えられ、Chat Completions APIに加えてツール呼び出し可能なAgents APIも提供する。,https://github.com/andrewyng/aisuite,62,"・各プロバイダーを<Provider>Providerクラスとして実装するアダプタパターンにより、新規プロバイダーの追加が容易な設計
・ファイル・git・シェル操作用の組み込みツールキットや、Model Context Protocol(MCP)サーバーへのネイティブ対応を備えたAgents API
・max_turnsによるマルチターンのツール呼び出しループやツールガバナンス機能など、実運用を意識したエージェント機構",Andrew Ng氏が関わるプロジェクトとして、LLMプロバイダーのロックインを避けたいアプリケーション開発者に人気があるのも頷ける。プロトタイプ段階では複数モデルを比較検証し、本番では最適なプロバイダーへスムーズに移行するといった使い方に適しており、社内ツールやOpenWorkerのようなデスクトップAIエージェントの基盤としても応用できる。,MIT,
affaan-m/ECC,JavaScript,ECC(Engineering Command Center、Agent Harness Operating System)は、AIコーディングエージェントに計画・実装・テスト・レビュー・改善という体系的なソフトウェアエンジニアリングの規律を組み込むオープンソースのツールキット。67種類の専門エージェント、281のスキル、94のコマンド、フックによるランタイム強制などを一式でインストールできる。,https://github.com/affaan-m/ECC,636,"・Claude Code、Codex、Cursor、OpenCode、Gemini、Zed、GitHub Copilotなど複数のAIコーディングハーネスに対応するアダプタ設計
・AgentShieldというセキュリティスキャナーがプロンプトインジェクションや設定ミス、認証情報漏えいを102の静的解析ルールで検査
・「Memory Vault」によりセッション間・ツール間でMarkdown形式のコンテキストを共有し、成功パターンを自動抽出してスキル化する継続学習機構を持つ",AIエージェントに「その場しのぎ」ではなく再現性のあるエンジニアリングプロセスを持たせたいというニーズに応える設計で、TDDやセキュリティレビューを標準化したいチームに有用そう。マルチベンダー・マルチハーネスを前提にしたベンダーロックインの少ない設計は、AIエージェント活用が本格化する現場での実用性を意識していると感じる。,MIT,
hello245m/free-stockdb,HTML,"free-stockdbは、中国株市場を対象としたローカル完結型のクオンツリサーチ基盤。日次・週次・月次や1〜30分足のK線データを圧縮保存し、7,000銘柄以上を横断したバックテストや指標計算をリモートAPIに頼らず高速に行えるようにするデータエンジニアリング基盤である。",https://github.com/hello245m/free-stockdb,50,"・C++とRustによる計算コアでpandasの約3倍の速度を謳い、Zstd圧縮による時系列データベースを独自実装
・39種類の組み込みテクニカル指標と5種類の指数算出方式、業種・コンセプト銘柄の相互マッピングを標準搭載
・Python SDK、HTTP API、Excel/WPS連携、ブラウザUI、MCPプロトコル(Claude/Cursor/Windsurf向け)という5通りのアクセス手段を提供",全市場バックテストの前準備に10〜15日かかっていたデータ整備作業を30分に短縮するという触れ込みは、個人トレーダーやクオンツ研究者にとって参入障壁を大きく下げるものと言える。MCP対応によりAIアシスタントから直接株価データを問い合わせられる点も、AI活用が進む金融分析の実務に合致している。,MIT,
huggingface/speech-to-speech,Python,Hugging Faceによるspeech-to-speechは、VAD→STT→LLM→TTSという一連のパイプラインをオープンソースモデルのみで構築できる、低遅延な音声対話エージェントのフレームワーク。OpenAI Realtime API互換のWebSocketを備え、各コンポーネントをCLIフラグで自由に差し替えられるモジュール設計となっている。,https://github.com/huggingface/speech-to-speech,227,"・Silero VAD v5、Parakeet TDT(STT)、Qwen3-TTSなどをデフォルトに、Whisper系やKokoro-82Mなど複数モデルへの切り替えに対応
・4つのスレッドコンポーネントをメッセージキューで疎結合に連携させ、ローカル対話モード・Realtime WebSocket・生TCP/WebSocketストリーミングなど複数の実行形態をサポート
・PyTorch/CUDA、Apple Silicon向けMLX、GGMLバックエンドに対応し、実際にReachy Miniロボットの対話基盤として数千台規模で稼働中",プロプライエタリな音声API(Realtime API等)に依存せず、完全にローカルで音声対話エージェントを組みたい開発者にとって実用的な選択肢となる。ロボットの会話エンジンとしての実運用実績があることから、音声インターフェースを持つIoT機器やパーソナルアシスタントのプロトタイピングにもそのまま応用できそうだ。,Apache-2.0,
virgiliojr94/book-to-skill,Python,技術書のPDF・EPUB・DOCXなどをClaude Code、GitHub Copilot CLI、Ampなどで使えるエージェント用スキルに変換するツール。章立てを解析し、マスターとなるSKILL.mdと章ごとのMarkdown、用語集、パターン集、チートシートを自動生成する。,https://github.com/virgiliojr94/book-to-skill,423,"・書籍全体をコンテキストに詰め込む方式と比べ「24〜51倍少ないトークン」で質問に回答できると謳う
・pdftotextやDoclingなど文書特性に応じた抽出ツールを自動選択し、表やコードを保持
・必要な章だけを都度ロードする設計で、書籍以外の社内ドキュメントや仕様書にも応用可能",技術書を毎回読み返す代わりに、必要な知識だけをオンデマンドで参照できるナレッジベースとして活用できる。エンジニアリングチームの内部ドキュメントや設計指針の再利用にも転用でき、AIコーディングエージェントの実務投入を後押しする実用的なツールと言える。,MIT,
opengeos/GeoLibre,TypeScript,ブラウザ・デスクトップ・モバイル・Jupyterなど複数環境で動作する、オープンソースの地理空間データ可視化・分析プラットフォーム。ローカルでのデータ処理を重視しつつ、3D地形表示や惑星マッピングまで幅広い地図表現に対応する。,https://github.com/opengeos/GeoLibre,607,"・Tauri v2 + React/TypeScript + MapLibre GL JSという構成でクロスプラットフォーム展開
・DuckDB-WASM Spatialによりブラウザ内で空間SQLクエリを直接実行可能
・地球だけでなく月・火星・金星など惑星データの座標系にも対応し、プラグインで機能拡張できる",GISソフトを別途インストールせずブラウザだけで空間データ分析を試せる点が大きな魅力で、教育用途やプロトタイピングに向く。QGISなど既存GISの補完、あるいは軽量なWeb地図アプリの土台として活用できそうだ。,MIT,
paperswithbacktest/awesome-systematic-trading,Python,システマティックトレーディング(定量的取引)に関するライブラリ・書籍・戦略・ブログなどを網羅的にまとめたキュレーションリポジトリ。バックテストフレームワークからブローカーAPI、機械学習ツールまで97以上のライブラリを星数順に整理している。,https://github.com/paperswithbacktest/awesome-systematic-trading,309,"・40以上の売買戦略と55冊の書籍、23本の動画・インタビューなど教育コンテンツが充実
・Python中心だがC++・Rust・Go・JavaScriptなど多言語のツールも網羅
・株式・債券・為替・暗号資産・デリバティブまで資産クラス横断でカバー",クオンツ取引を始めたいエンジニアやトレーダーにとって、ツール選定や学習ロードマップ作りの出発点として使える。星数ベースのランキングで実務での採用実績を推測しやすく、リサーチの時間短縮に役立つ。,,
