rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,ayghri/i-have-adhd,https://github.com/ayghri/i-have-adhd,A skill to stop your coding agent from burying the answer. ADHD-friendly output.,Python,45689,2650,17658,weekly,,2026-09-15T07:15:32+00:00,MIT License,
2,bilawalsidhu/gods-eye-view,https://github.com/bilawalsidhu/gods-eye-view,"A spy satellite simulator in your browser, except the data is real.",JavaScript,33942,6771,14403,weekly,,2026-09-15T07:15:32+00:00,MIT License,
3,affaan-m/ECC,https://github.com/affaan-m/ECC,The agent harness performance optimization system.,JavaScript,258553,38676,6085,weekly,,2026-09-15T07:15:32+00:00,MIT License,
4,openai/plugins,https://github.com/openai/plugins,OpenAI Plugins,JavaScript,6733,882,1233,weekly,,2026-09-15T07:15:32+00:00,,
5,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,Makes your AI agent think like the laziest senior dev in the room.,JavaScript,138739,7450,7722,weekly,,2026-09-15T07:15:32+00:00,MIT License,
6,mksglu/context-mode,https://github.com/mksglu/context-mode,Context window optimization for AI coding agents.,TypeScript,22946,1656,2241,weekly,,2026-09-15T07:15:32+00:00,Elastic License 2.0,
7,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,Write HTML. Render video. Built for agents.,TypeScript,50161,4577,5052,weekly,,2026-09-15T07:15:32+00:00,Apache License 2.0,
8,tt-a1i/archify,https://github.com/tt-a1i/archify,"Agent skill for beautiful, verifiable architecture, workflow, sequence, data-flow, and lifecycle diagrams.",JavaScript,62692,4157,9868,weekly,,2026-09-15T07:15:32+00:00,MIT License,
9,openai/skills,https://github.com/openai/skills,Skills Catalog for Codex,Python,27222,1815,1350,weekly,,2026-09-15T07:15:32+00:00,,
10,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,Python,184111,13555,4604,weekly,,2026-09-15T07:15:32+00:00,MIT License,
11,obra/superpowers,https://github.com/obra/superpowers,An agentic skills framework & software development methodology that works.,Shell,286823,25651,4124,weekly,,2026-09-15T07:15:32+00:00,MIT License,
12,blader/humanizer,https://github.com/blader/humanizer,Agent skill that removes signs of AI-generated writing from text,Python,48264,3929,3201,weekly,,2026-09-15T07:15:32+00:00,MIT License,
13,max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,"Worktrunk is a CLI for Git worktree management, designed for parallel AI agent workflows",Rust,7719,273,761,weekly,,2026-09-15T07:15:32+00:00,MIT OR Apache-2.0,
14,THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience in just one click",TypeScript,36945,5833,3950,weekly,,2026-09-15T07:15:32+00:00,MIT License,
15,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi. Self-contained HTML + SVG. No shadows. No Mermaid slop.",HTML,39970,2537,6604,weekly,,2026-09-15T07:15:32+00:00,MIT License,
16,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,TypeScript,51998,3655,702,weekly,,2026-09-15T07:15:32+00:00,Apache License 2.0,
17,Tencent/WeKnora,https://github.com/Tencent/WeKnora,"Open-source LLM knowledge platform: turn raw documents into a queryable RAG, an autonomous reasoning agent, and a self-maintaining Wiki.",Go,23474,3324,1460,weekly,,2026-09-15T07:15:32+00:00,MIT License,
18,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",JavaScript,50336,7617,2344,weekly,,2026-09-15T07:15:32+00:00,MIT License,
19,earthtojake/text-to-cad,https://github.com/earthtojake/text-to-cad,"A library of agent skills for CAD, CAE and CAM",Python,15817,1636,1194,weekly,,2026-09-15T07:15:32+00:00,MIT License,
20,petergyang/no-ai-slop,https://github.com/petergyang/no-ai-slop,Removes 20+ patterns of AI slop from any piece of writing.,Python,9662,691,1946,weekly,,2026-09-15T07:15:32+00:00,MIT License,
21,github/spec-kit,https://github.com/github/spec-kit,Toolkit to help you get started with Spec-Driven Development,Python,136861,12272,2952,weekly,,2026-09-15T07:15:32+00:00,MIT License,
22,alibaba/open-code-review,https://github.com/alibaba/open-code-review,"Fast, efficient, battle-tested at Alibaba's scale. Hybrid architecture code review tool.",Go,26505,1905,2709,weekly,,2026-09-15T07:15:32+00:00,Apache License 2.0,
23,kunchenguid/firstmate,https://github.com/kunchenguid/firstmate,Talk to one agent. Ship with a crew.,Shell,5992,1841,978,weekly,,2026-09-15T07:15:32+00:00,MIT License,
