rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,block/buzz,https://github.com/block/buzz,A hive mind communication platform,Rust,30545,3878,21856,monthly,,2026-08-25T07:12:40+00:00,Apache License 2.0,
2,TencentCloud/TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,TencentDB Agent Memory is a team-level memory hub for AI Agents,TypeScript,24320,2240,15093,monthly,,2026-08-25T07:12:40+00:00,MIT License,
3,ayghri/i-have-adhd,https://github.com/ayghri/i-have-adhd,A skill to stop your coding agent from burying the answer. ADHD-friendly output.,Python,23944,1533,14346,monthly,,2026-08-25T07:12:40+00:00,MIT License,
4,basecamp/omarchy,https://github.com/basecamp/omarchy,"Beautiful, Modern & Opinionated Linux",Shell,30455,3091,5853,monthly,,2026-08-25T07:12:40+00:00,MIT License,
5,zhaoxuya520/reverse-skill,https://github.com/zhaoxuya520/reverse-skill,Reverse Engineering / Authorized Penetration Testing / Security Research Skill Router Pack,PowerShell,28916,3943,19889,monthly,,2026-08-25T07:12:40+00:00,MIT License,
6,microsoft/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!",Jupyter Notebook,66830,12907,14152,monthly,,2026-08-25T07:12:40+00:00,MIT License,
7,virgiliojr94/book-to-skill,https://github.com/virgiliojr94/book-to-skill,Turn any technical book PDF into a Claude Code skill,Python,25334,2627,15714,monthly,,2026-08-25T07:12:40+00:00,MIT License,
8,diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,"Free MIT AI gateway: one endpoint, 350 providers, 1200+ models",TypeScript,54618,7476,26484,monthly,,2026-08-25T07:12:40+00:00,MIT License,
9,pingdotgg/t3code,https://github.com/pingdotgg/t3code,,TypeScript,20381,4821,5873,monthly,,2026-08-25T07:12:40+00:00,MIT License,
10,bojieli/ai-agent-book,https://github.com/bojieli/ai-agent-book,Open source repository featuring AI Agent design principles and engineering practices,Python,41954,4636,23084,monthly,,2026-08-25T07:12:40+00:00,Apache License 2.0,
11,cactus-compute/needle,https://github.com/cactus-compute/needle,"14MB foundation model for tiny devices; phones, wearables, smart home, and robots.",Python,9026,587,5654,monthly,,2026-08-25T07:12:40+00:00,Apache License 2.0,
12,citrolabs/ego-lite,https://github.com/citrolabs/ego-lite,The fastest browser for AI agents to run browser automation,JavaScript,13333,693,11039,monthly,,2026-08-25T07:12:40+00:00,MIT License,
13,volcengine/OpenViking,https://github.com/volcengine/OpenViking,Self-evolving Context Database for AI Agents,Python,33085,2521,5784,monthly,,2026-08-25T07:12:40+00:00,AGPLv3(本体)、Apache 2.0(CLI・サンプルコード),
14,mattpocock/skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .agents directory.,Shell,235781,20094,50069,monthly,,2026-08-25T07:12:40+00:00,MIT License,
15,1jehuang/jcode,https://github.com/1jehuang/jcode,The most RAM efficient harness,Rust,18488,2080,7469,monthly,,2026-08-25T07:12:40+00:00,MIT License,
16,earendil-works/pi,https://github.com/earendil-works/pi,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI",TypeScript,96863,11971,19957,monthly,,2026-08-25T07:12:40+00:00,MIT License,
17,megadose/holehe,https://github.com/megadose/holehe,Check if mail is used on different sites and retrieve password recovery info,Python,14166,1824,2386,monthly,,2026-08-25T07:12:40+00:00,GNU General Public License v3.0,
18,modular/modular,https://github.com/modular/modular,The Modular Platform (includes MAX & Mojo),Mojo,29092,3101,2539,monthly,,2026-08-25T07:12:40+00:00,Apache License 2.0 with LLVM Exceptions,
19,akitaonrails/ai-memory,https://github.com/akitaonrails/ai-memory,Solution for long term memory for agent coding CLIs,Rust,4454,323,3151,monthly,,2026-08-25T07:12:40+00:00,MIT License,
