rank,repository,url,description,language,stars_total,forks_total,stars_period,since,language_filter,scraped_at,license,first_commit_date
1,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,251799,37832,1485,daily,,2026-09-07T06:15:42+00:00,MIT License,
2,mattpocock/skills,https://github.com/mattpocock/skills,Skills for Real Engineers. Straight from my .agents directory.,Shell,255089,21501,2207,daily,,2026-09-07T06:15:42+00:00,MIT License,
3,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi. Self-contained HTML + SVG. No shadows. No Mermaid slop.",HTML,32680,2093,620,daily,,2026-09-07T06:15:42+00:00,MIT License,
4,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,242686,49914,520,daily,,2026-09-07T06:15:42+00:00,MIT License,
5,openai/skills,https://github.com/openai/skills,Skills Catalog for Codex,Python,25698,1734,46,daily,,2026-09-07T06:15:42+00:00,,
6,anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,205402,26785,551,daily,,2026-09-07T06:15:42+00:00,MIT License,
7,blader/humanizer,https://github.com/blader/humanizer,Agent skill that removes signs of AI-generated writing from text,Python,44519,3689,748,daily,,2026-09-07T06:15:42+00:00,MIT License,
8,llvm/llvm-project,https://github.com/llvm/llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.,LLVM,40263,18563,23,daily,,2026-09-07T06:15:42+00:00,Apache License 2.0 with LLVM Exceptions,
9,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.,JavaScript,129822,6955,1539,daily,,2026-09-07T06:15:42+00:00,MIT License,
10,ruvnet/ruflo,https://github.com/ruvnet/ruflo,"The original agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems.",TypeScript,71097,8448,276,daily,,2026-09-07T06:15:42+00:00,MIT License,
11,magnitudedev/magnitude,https://github.com/magnitudedev/magnitude,"Open source inference server that runs the best local models for your hardware, plugged into the agent you already use.",TypeScript,3793,275,604,daily,,2026-09-07T06:15:42+00:00,Apache License 2.0,
12,BraveOPotato/FckSignups,https://github.com/BraveOPotato/FckSignups,"A list of tools that are open-source, in-browser, and require no-signups!",TypeScript,3435,212,436,daily,,2026-09-07T06:15:42+00:00,GPL-3.0 License,
13,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",JavaScript,47665,7397,329,daily,,2026-09-07T06:15:42+00:00,MIT License,
14,aipoch/open-science,https://github.com/aipoch/open-science,"Open Science by AIPOCH is an open-source, local-first, model-agnostic AI research workbench for macOS, Windows, and Linux.",TypeScript,3959,243,146,daily,,2026-09-07T06:15:42+00:00,Apache License 2.0,
15,OpenWhispr/openwhispr,https://github.com/OpenWhispr/openwhispr,Voice-to-text dictation app with local (Nvidia Parakeet/Whisper) and cloud models (BYOK). Privacy-first and available cross-platform.,JavaScript,7557,938,121,daily,,2026-09-07T06:15:42+00:00,MIT License,
16,humanlayer/skills,https://github.com/humanlayer/skills,,TypeScript,3262,97,451,daily,,2026-09-07T06:15:42+00:00,MIT License,
17,The-Swarm-Corporation/AutoHedge,https://github.com/The-Swarm-Corporation/AutoHedge,Build your autonomous hedge fund in minutes. AutoHedge harnesses the power of swarm intelligence and AI agents.,Python,4863,783,142,daily,,2026-09-07T06:15:42+00:00,MIT License,
18,Stremio/stremio-web,https://github.com/Stremio/stremio-web,Stremio - Freedom to Stream,JavaScript,13564,1550,122,daily,,2026-09-07T06:15:42+00:00,GPL-2.0 License,
