リポジトリ名,主要言語,概要,GitHubURL,Star増分,注目ポイント/要約,活用アイデア/関連性/所感,ライセンス,first commit日
modular/modular,Mojo,Modular社が開発するAI開発・推論基盤「Modular Platform」のリポジトリで、新言語Mojoのコンパイラ・標準ライブラリと、推論高速化フレームワークMAX(カーネル最適化、OpenAI互換の推論サーバーなど)を含んでいます。,https://github.com/modular/modular,2176,"・Pythonに近い構文で高性能なシステムプログラミングを目指す新言語Mojoとその標準ライブラリを公開
・MAXフレームワークによるカーネル最適化とOpenAI互換エンドポイントを持つ推論サーバーを提供
・5万件超のコミットと800件超のオープンissueを抱える活発な開発体制で、AI推論インフラの中核プロジェクトとして注目されている",既存のPyTorch系推論スタックに代わる高速な推論基盤や、Mojoによる高性能AIカーネル実装に興味がある開発者にとって有力な選択肢になりそうです。MAXのOpenAI互換APIは既存クライアントコードをほぼそのまま流用できる点も実用的です。,Apache License 2.0 with LLVM Exceptions,
harry0703/MoneyPrinterTurbo,Python,トピックやキーワードを入力するだけで、台本生成・素材選定・字幕付与・BGM合成までを自動化し、HD画質のショート動画を生成するAIワークフローツールです。WebUI・API・CLIなど複数のインターフェースを備えています。,https://github.com/harry0703/MoneyPrinterTurbo,11167,"・Edge TTS/Azure/ElevenLabsなど複数の音声合成サービスと、OpenAI/Claude/Gemini/DeepSeekなど複数のLLMに対応
・Pexels/Pixabayなどの素材ライブラリに加えAI動画生成にも対応し、9:16(縦型)/16:9(横型)を選択可能
・TikTok/Instagram/YouTube Shortsへのワンクリック投稿機能を備え、Docker/Windowsワンクリック版/Google Colabなど導入手段が豊富",SNS向けショート動画の量産や個人クリエイターの制作効率化に直結するツールで、既存の動画編集ワークフローの自動化・省力化に活用できそうです。複数のAIプロバイダーを切り替えられるため、コストや品質に応じた運用調整もしやすい点が実務的です。,MIT License,
basecamp/omarchy,Shell,Basecamp/37signalsの共同創業者DHH(David Heinemeier Hansson)が手がける、美しく洗練されたデザインを重視するオピニオネイテッドなLinuxディストリビューション。開発者向けのツール群やテーマ、デフォルト設定一式をまとめて提供する。,https://github.com/basecamp/omarchy,3660,"・Neovimやターミナルユーティリティ、AI統合など開発者体験を重視したデフォルト構成をあらかじめ用意
・複数のビルトインテーマによる見た目のカスタマイズ性と、詳細なマニュアルドキュメントが整備されている
・Ruby on Railsで知られるDHH自身が設計・発信しており、そのブランド力とセンスの良さが注目を集めている",開発環境をゼロから構築する手間を省きたいエンジニアが、すぐに使える「意見のあるデフォルト」として導入できる。dotfilesやNeovim設定のリファレンスとしても参考になり、Arch Linuxの学習用途にも向く。,MIT License,
AprilNEA/OpenLogi,Rust,Logitech Options+のネイティブかつローカルファーストな代替ソフトウェアで、Rustで実装されている。アカウント登録やテレメトリ送信なしに、Logicool製マウス・キーボード・Webカメラのボタン割り当てやDPI、ジェスチャーなどをカスタマイズできる。,https://github.com/AprilNEA/OpenLogi,6078,"・Logi Bolt/Unifyingレシーバー、Bluetooth、有線接続など複数の接続方式に対応し、macOS/Linux/Windowsをクロスプラットフォームでサポート
・アプリケーションごとに自動切り替わるプロファイル機能や、TOML形式のプレーンテキスト設定でGit管理・同期がしやすい設計
・公式ソフトの重さやLinux非対応という不満に応えるプライバシー重視・軽量な設計が評価されている",公式ソフトが重い、あるいはLinuxに対応していないことに不満を持つLogicoolデバイスユーザーの代替選択肢となる。設定をTOMLで管理できるため、dotfilesと同様にGitでバージョン管理し複数マシン間で同期する運用が可能。,Apache License 2.0,
cordiverse/cordis,TypeScript,「時空間的コンポーザビリティ(Spatiotemporal Composability)」という論文に基づくTypeScript製のメタフレームワークで、プラグインの読み込み・依存注入・ホットリロードなどをContextという概念で統一的に扱います。人気チャットボットフレームワークKoishiの中核設計思想を汎用ライブラリとして切り出したものです。,https://github.com/cordiverse/cordis,2725,"・core/loader/hmr(ホットモジュールリロード)/group/includeなど機能単位でパッケージ分割されたモノレポ構成
・サービスの依存注入とプラグインのライフサイクル管理を型安全に扱えるContext指向の設計
・学術論文に裏付けられたプログラミングパラダイムとして提示されているが、APIはまだ安定していない発展途上のプロジェクト",プラグイン可能なNode.js/TypeScriptアプリケーション(ボット、CLIツール、サーバーなど)の基盤ライブラリとして使えそうです。APIが不安定な段階のため、本番導入よりもアーキテクチャ的なアイデアを学ぶ・部分的に取り入れる用途がまず向いていそうです。,MIT License,
volcengine/OpenViking,Python,AIエージェント向けのオープンソース「コンテキストデータベース」で、記憶・知識リソース・スキルを viking:// プロトコルによる仮想ファイルシステムとして扱い、エージェントがls/tree/findのような操作で自身のコンテキストを閲覧できるようにします。,https://github.com/volcengine/OpenViking,3799,"・情報をL0(概要)/L1(要約)/L2(詳細)の3階層に分けてオンデマンドで読み込み、トークン消費を抑える設計
・検索過程(トラジェクトリ)を保持し結果をデバッグ可能にする「観測可能な検索」を実現
・Claude Code、Codex、Cursorなど複数のエージェント環境と統合し、ネイティブ実装比で精度・トークン消費・レイテンシを大幅に改善したと報告している",長期記憶やナレッジベースを持つAIエージェントを構築する際、ベクトルDBのブラックボックス的な検索に代わる「ファイルシステム的」なコンテキスト管理として活用できそうです。AGPLv3ライセンスのためSaaSとして提供する場合はライセンス条件の確認が必要です。,GNU Affero General Public License v3.0,
public-apis/public-apis,Python,無料で使える公開APIをカテゴリ別にまとめたキュレーションリストで、開発者が用途に応じたAPIを探すためのリファレンスとして機能します。,https://github.com/public-apis/public-apis,8295,"・天気、金融、エンタメ、開発ツールなど多岐にわたるカテゴリで無料APIを整理
・コミュニティ主導での継続的な追加・更新が行われ、長期にわたり高い人気とスター数を維持
・シンプルなMarkdownベースのリストという形式ながら、開発初期のAPI探索における定番リソースとなっている",新規プロジェクトのプロトタイピング時に外部データソースを素早く見つけたい場合の出発点として有用です。既存のAPIカタログサービスやAPI検索ツールと組み合わせて使うことで、選定コストを下げられそうです。,MIT License,
jundot/omlx,Python,Apple Silicon搭載Mac向けに最適化されたLLM推論サーバーで、連続バッチング(continuous batching)とRAM/SSDの階層型KVキャッシュにより、ローカルで複数モデルを効率よく同時提供できます。macOSメニューバーアプリからサーバーを管理できる点が特徴です。,https://github.com/jundot/omlx,1671,"・ホット(RAM)/コールド(SSD)の階層KVキャッシュとプレフィックス共有・Copy-on-Writeによるメモリ最適化
・OpenAI/Anthropic互換APIとツール呼び出し・構造化出力に対応し、既存クライアントをそのまま利用可能
・GLM-5.2などでカスタムカーネルにより大幅な高速化(開発者いわく約30倍)を実現したと主張している",Claude CodeなどのコーディングツールをローカルLLMで運用したい場合の実務的な受け皿になりそうで、ターミナルに不慣れなユーザーでもメニューバーから直感的にモデル管理ができる点が実用的です。個人のMac一台で複数モデルを切り替えながら使いたいユースケースに向いています。,Apache License 2.0,
anthropics/claude-plugins-community,Python,Claude CoworkおよびClaude Code向けのコミュニティプラグインマーケットプレイスを構成する、読み取り専用のミラーリポジトリです。Anthropicの内部審査パイプラインで提出・セキュリティスキャン・承認されたコミュニティ製プラグインの一覧を`marketplace.json`として公開しています。,https://github.com/anthropics/claude-plugins-community,406,"・すべての掲載プラグインが公式チャネル経由で提出され、自動セキュリティスキャンと承認プロセスを経ている点で品質が担保されている
・Claude Codeからは`claude plugin marketplace add anthropics/claude-plugins-community`のようなCLIコマンドで直接マーケットプレイスを追加・インストールできる
・リポジトリへの直接プルリクエストは自動クローズされ、提出は`clau.de/plugin-directory-submission`経由の内部パイプラインに一本化されている(毎晩同期される読み取り専用ミラー)",Claude CodeやClaude Coworkの拡張機能を探す際の公式カタログとして、まず参照すべきリポジトリです。ECCやRufloのような独自エージェントハーネスを構築するプロジェクトが、ここに掲載される形で配布・発見されるようになる導線としても機能しそうです。,Apache License 2.0,
cursor/plugins,TypeScript,CursorのAIコーディングプラットフォーム向けの公式プラグイン(拡張機能)マーケットプレイス。Gmail、Google Drive、Salesforce、GitHubなど30以上の開発ツール・SaaSサービスとの連携や、コードレビュー・並列エージェント実行などのエージェント機能を提供するプラグイン群を収録している。,https://github.com/cursor/plugins,1761,"・各プラグインが `.cursor-plugin/plugin.json` マニフェスト、エージェントスキル、Cursor rules、MCPサーバー定義という統一構造を持つ設計
・「Continual Learning」(会話履歴から記憶を更新)や「Thermos」(セキュリティ/正確性監査)、「Orchestrate」(並列クラウドエージェント)など高度なエージェント運用機能を含む
・Cursor社自身が公式に管理するマーケットプレイスとして235コミット・4.8kスターと活発に更新されている",Cursorを使う開発チームがGoogle系サービスやSalesforce、GitHubなどの既存ツールをエージェントに接続する際の標準的な入口になりそう。MCPサーバー定義を含むため、他のAIコーディングツールのプラグイン設計の参考にもなる。,MIT License,
